Date,Close/Last,Volume,Open,High,Low
12/14/2022,286.51,64984430,288.05,291.41,283.19
12/13/2022,288.65,80667680,296.65,296.875,285.91
12/12/2022,285.58,35732520,282.22,285.64,281.16
12/09/2022,282.04,47860490,282.81,285.64,281.59
12/08/2022,283.85,42594910,281.91,284.84,279.79
12/07/2022,280.53,45614250,280.47,282.57,278.7801
12/06/2022,281.68,53937610,287.48,287.62,280.255
12/05/2022,287.64,41482120,290.38,291.68,286.15
12/02/2022,292.55,53583170,288.54,293.45,288.36
12/01/2022,293.72,51547330,293.69,295.75,290.88
11/30/2022,293.36,74718090,280.84,293.47,279.97
11/29/2022,280.57,35618880,282.94,283.35,279.17
11/28/2022,282.71,38877050,284.90,286.96,281.76
11/25/2022,286.92,15498800,287.19,287.91,286.42
11/23/2022,288.82,46389970,285.97,289.46,285.79
11/22/2022,285.95,41873440,282.64,286.11,280.46
11/21/2022,281.89,40083530,283.40,284.58,281.04
11/18/2022,284.82,53588630,287.89,287.99,282.3211
11/17/2022,284.81,55462080,280.88,286.3189,280.72
11/16/2022,285.44,48859800,287.39,289.4838,284.60
11/15/2022,289.39,73985370,292.21,293.26,285.97
11/14/2022,285.44,55080050,285.86,289.215,284.44
11/11/2022,287.96,66961750,282.56,288.64,281.19
11/10/2022,282.75,99256690,276.01,283.05,273.85
11/09/2022,263.32,64862130,267.76,268.56,263.03
11/08/2022,269.54,63213790,269.14,272.85,265.52
11/07/2022,267.59,47333830,265.75,268.14,263.57
11/04/2022,264.68,78313210,265.53,266.61,259.08
11/03/2022,260.49,70038900,263.01,264.50,260.10
11/02/2022,265.68,79803140,275.08,278.21,265.61
11/01/2022,275.11,45895900,281.495,282.07,274.74
10/31/2022,277.95,47741950,278.92,279.76,275.99
10/28/2022,281.22,62651310,272.23,281.698,272.06
10/27/2022,272.87,57760300,276.79,278.2795,272.34
10/26/2022,277.93,63898250,278.46,283.98,277.43
10/25/2022,284.21,59014490,279.41,284.60,277.90
10/24/2022,278.45,63963570,275.69,279.40,271.97
10/21/2022,275.42,77897690,267.98,275.969,266.8236
10/20/2022,269.11,60605500,269.58,274.84,267.92
